PLAYER_ID,PLAYER_NAME,TEAM
1628449,Chris Boucher,TOR
1630558,Davion Mitchell,TOR
1642347,Jamal Shead,TOR
1628981,Bruno Fernando,TOR
1642367,Jonathan Mogbo,TOR
1642419,Jamison Battle,TOR
202066,Garrett Temple,TOR
1642279,Ulrich Chomche,TOR
1629731,Dean Wade,CLE
1630596,Evan Mobley,CLE
1628386,Jarrett Allen,CLE
1628378,Donovan Mitchell,CLE
1629636,Darius Garland,CLE
1627747,Caris LeVert,CLE
1630241,Sam Merrill,CLE
1627777,Georges Niang,CLE
1630171,Isaac Okoro,CLE
1629660,Ty Jerome,CLE
1641854,Craig Porter Jr.,CLE
202684,Tristan Thompson,CLE
1642281,Jaylon Tyson,CLE
1630529,Herbert Jones,NOP
1627742,Brandon Ingram,NOP
1628464,Daniel Theis,NOP
203468,CJ McCollum,NOP
1627749,Dejounte Murray,NOP
1642274,Yves Missi,NOP
1641722,Jordan Hawkins,NOP
1629750,Javonte Green,NOP
1630631,Jose Alvarado,NOP
1630526,Jeremiah Robinson-Earl,NOP
1641810,Antonio Reeves,NOP
1631255,Karlo Matković,NOP
1641998,Trey Jemison III,NOP
203897,Zach LaVine,CHI
1630172,Patrick Williams,CHI
202696,Nikola Vučević,CHI
1629632,Coby White,CHI
1630581,Josh Giddey,CHI
1628366,Lonzo Ball,CHI
1630245,Ayo Dosunmu,CHI
1641763,Julian Phillips,CHI
1630188,Jalen Smith,CHI
1629659,Talen Horton-Tucker,CHI
1641824,Matas Buzelis,CHI
1631207,Dalen Terry,CHI
1630537,Chris Duarte,CHI
1628975,Jevon Carter,CHI
1628470,Torrey Craig,CHI
1626162,Kelly Oubre Jr.,PHI
1630231,KJ Martin,PHI
203083,Andre Drummond,PHI
201569,Eric Gordon,PHI
1630178,Tyrese Maxey,PHI
1628997,Caleb Martin,PHI
1627824,Guerschon Yabusele,PHI
200768,Kyle Lowry,PHI
1641741,Ricky Council IV,PHI
1642272,Jared McCain,PHI
1630288,Jeff Dowtin Jr.,PHI
1631311,Lester Quinones,PHI
1641737,Adem Bona,PHI
1642348,Justin Edwards,PHI
202704,Reggie Jackson,PHI
1627752,Taurean Prince,MIL
203507,Giannis Antetokounmpo,MIL
201572,Brook Lopez,MIL
1629018,Gary Trent Jr.,MIL
203081,Damian Lillard,MIL
1626171,Bobby Portis,MIL
1626192,Pat Connaughton,MIL
1626153,Delon Wright,MIL
1631260,AJ Green,MIL
1641890,Tyler Smith,MIL
1641748,Andre Jackson Jr.,MIL
1631157,Ryan Rollins,MIL
1642358,AJ Johnson,MIL
1630699,MarJon Beauchamp,MIL
1641753,Chris Livingston,MIL
1629008,Michael Porter Jr.,DEN
203932,Aaron Gordon,DEN
203999,Nikola Jokić,DEN
1631128,Christian Braun,DEN
1627750,Jamal Murray,DEN
1631124,Julian Strawther,DEN
201566,Russell Westbrook,DEN
1631212,Peyton Watson,DEN
203967,Dario Šarić,DEN
1628427,Vlatko Čančar,DEN
1630192,Zeke Nnaji,DEN
1641816,Hunter Tyson,DEN
1629618,Jalen Pickett,DEN
1641725,Trey Alexander,DEN
201599,DeAndre Jordan,DEN
1631114,Jalen Williams,OKC
1629652,Luguentz Dort,OKC
1631096,Chet Holmgren,OKC
1630198,Isaiah Joe,OKC
1628983,Shai Gilgeous-Alexander,OKC
1641717,Cason Wallace,OKC
1631172,Ousmane Dieng,OKC
1627936,Alex Caruso,OKC
1630598,Aaron Wiggins,OKC
1642349,Ajay Mitchell,OKC
1641794,Dillon Jones,OKC
1641745,Adam Flagler,OKC
1642505,Alex Ducas,OKC
1642024,Alex Reese,OKC
1641731,Bilal Coulibaly,WAS
1628398,Kyle Kuzma,WAS
1642259,Alex Sarr,WAS
1629673,Jordan Poole,WAS
1642267,Bub Carrington,WAS
202685,Jonas Valančiūnas,WAS
1630557,Corey Kispert,WAS
1642273,Kyshawn George,WAS
1630215,Jared Butler,WAS
1628963,Marvin Bagley III,WAS
1631098,Johnny Davis,WAS
1631116,Patrick Baldwin Jr.,WAS
1630551,Justin Champagnie,WAS
1630264,Anthony Gill,WAS
1626158,Richaun Holmes,WAS
1631120,JD Davison,BOS
1641809,Drew Peterson,BOS
202691,Klay Thompson,DAL
1629023,P.J. Washington,DAL
1629655,Daniel Gafford,DAL
202681,Kyrie Irving,DAL
1629029,Luka Dončić,DAL
1629656,Quentin Grimes,DAL
1641726,Dereck Lively II,DAL
1628467,Maxi Kleber,DAL
1630230,Naji Marshall,DAL
1630702,Jaden Hardy,DAL
203915,Spencer Dinwiddie,DAL
